group	run	story_PL	story_EN	code
HOP	r2	Weronika kieruje autobusem miejskim. Ostatnio miała okazję prowadzić autobus elektryczny i bardzo jej się to spodobało. Teraz namawia swoich współpracowników, aby wspólnie zawnioskować o wprowadzenie autobusów elektrycznych na wszystkich liniach w mieście.	Penelope is a city bus driver. She recently had an opportunity to drive an electric bus and liked it very much. She is now urging her colleagues to petition the company to introduce more electric vehicles on all lines in the city.	HOP13
HOP	r2	Dzięki naciskowi lokalnej społeczności, w Twojej okolicy udało się uzyskać zgodę władz na budowę elektrowni opartej o odnawialne źródła energii w miejscu dawnej elektrowni węglowej. Działania te przyczynią się do ograniczania negatywnych skutków zmiany klimatu.	Thanks to local community pressure, the authorities in your area have obtained permission to build a renewable energy power plant to replace the former coal-fired plant. These steps will contribute to the mitigation of the negative effects of climate change.	HOP5
HOP	r2	Julian pracuje nad technologią wychwytywania dwutlenku węgla z kominów zakładów przemysłowych. Wkrótce wypuści na rynek swój wynalazek, który jest wielokrotnie bardziej skuteczny niż obecnie stosowane rozwiązania. Julian nie zamierza ubiegać się o patent, ponieważ chce, żeby technologia była tania i powszechnie dostępna.	Julian is working on a technology to capture carbon dioxide from industrial stacks. His invention – which is many times more effective than any solution currently in use – will soon be available on the market. Julian does not intend to apply for a patent, because he wants the technology to be cheap and widely available.	HOP26
HOP	r3	Kiedyś Kasia dojeżdżała do pracy autem. Kiedy przesiadła się na rower, musiała przyzwyczaić się do nowego sposobu podróży. Dziś Kasia nie wsiadłaby znowu do auta - lubi to, że ma okazję poruszać się z rana, może ominąć korki, a jednocześnie może zrobić coś dobrego dla klimatu. Kasia przekonała też kilku znajomych z pracy do dojeżdżania do pracy rowerem.	Isabella used to commute to work by car. When she switched to a bicycle, she had to get used to the new way of transportation. Today Isabella would not want to switch back to the car – she likes the opportunity to exercise in the morning, while avoiding traffic jams and at the same time making a contribution to climate protection. She has also convinced a few colleagues to switch to the bike.	HOP17
HOP	r3	Krystian i Monika agitują pod urzędem miejskim, by wprowadzono zakaz palenia słabej jakości paliwem w piecach. Dzięki ich protestowi urząd wprowadza zakaz i postanawia przeznaczyć dodatkowe środki na dofinansowanie wymiany pieców w domach mieszkańców, których nie byłoby stać na samodzielną wymianę pieca.	Christian and Harper are protesting outside the Town Hall, demanding that the burning of low-quality fuel in stoves be banned. Thanks to their protest, the authorities impose the ban and decide to allocate additional subsidies for the replacement of stoves in the homes of residents who cannot afford it on their own.	HOP16
HOP	r3	Gosia obejrzała inspirujący wykład o możliwych rozwiązaniach dla kwestii zmiany klimatu. Publikuje o nim post w mediach społecznościowych i wysyła nagranie wykładu do swoich przyjaciół. Gosia myślała, że w jej otoczeniu mało kto interesuje się klimatem, ale okazuje się, że post został wyświetlony i skomentowany przez setki ludzi.	Emily watched an inspiring lecture on possible solutions to the problem of climate change. She then published a post about it on social media and sent a recording of it to her friends. Emily always thought that hardly anyone among her acquaintances was interested in the climate, but it turns out that the post has been viewed and commented on by hundreds of people.	HOP11
HOP	r3	Yoshida jest naukowcem, który opisał nowy gatunek bakterii. Te bakterie potrafią rozkładać plastik, który w innym wypadku zalegałby na wysypiskach. Odkrycie Yoshidy nabrało rozgłosu, więc zadecydowano o przyznaniu mu kolejnego grantu na dalsze badania. Istnieją podstawy by sądzić, że rozwiązanie naukowca da się wprowadzić na szeroką skalę.	Yoshida has discovered a new species of bacteria. The bacteria are able to break down plastic that would otherwise be deposited in landfills. Yoshida's discovery gained so much publicity that he was awarded another research grant. There are reasons to hope that his solution can be implemented on a large scale.	HOP27
NEU	r1	Olga przygotowuje budżet na służbowy wyjazd w przyszłym tygodniu. Sprawdziła już, ile zapłaci za nocleg, transport i obiady na mieście. Wcześniej oszacowała, ile mniej więcej będzie kosztował jej wyjazd, ale musi podać swojej szefowej dokładną kwotę. Teraz używa kalkulatora, żeby upewnić się, czy dobrze obliczyła całkowity koszt wyjazdu.	Janine is planning a budget for a business trip next week. She has already checked how much she will pay for accommodation, transport and lunches in the city. She had estimated the costs of the trip earlier, but now she must give her boss the exact figure. She is using a calculator to make sure she has not made any mistakes.	NEU24
NEU	r1	Iwona zauważyła, że w jej łazience przepaliła się żarówka. Na szczęście znalazła zapasową żarówkę w szufladzie w kuchni. Iwona pozostawia drzwi łazienki uchylone, aby wpadało do niej światło z przedpokoju. W półmroku Iwona staje na stołku i wymienia żarówkę. Przy pomocy włącznika sprawdza, czy żarówka działa.	Ivonne noticed that the light bulb in her bathroom was burned out. Luckily, she found a spare bulb in a drawer in the kitchen. She left the bathroom door ajar, so as to let in some light from the hall. She climbed a stool in the dark bathroom and changed the light bulb. Then she flipped the switch to test whether it worked.	NEU6
NEU	r1	Aleksander wsiadł do autobusu i zajął miejsce siedzące na końcu pojazdu. Przygląda się krajobrazowi, który przesuwa się za oknem i myśli o swoich planach na nadchodzący weekend. W pewnym momencie spostrzega plakat reklamujący ciekawą wystawę. “Ciekawe, czy uda mi się jeszcze dostać bilety na tę wystawę”, myśli Aleksander.	Louis entered the bus and took a seat at the end of the vehicle. As he watches the changing landscape through the window, he thinks about his plans for the coming weekend. He notices a poster advertising an interesting exhibition. “Maybe I can still get tickets for this exhibition.”, he wonders.	NEU12
NEU	r1	Milena skończyła swój poranny trening około ósmej. Podniosła z ziemi ręcznik i napiła się nieco wody z butelki. Z początku zaskoczyło ją, że woda ma smak cytrynowy. Potem przypomniała sobie, że rano dodała do wody trochę soku z cytryny, żeby napój zawierał jakieś witaminy. Kiedy skończyła pić, odłożyła butelkę do swojej torby sportowej i udała się w stronę przebieralni.	Cornelia finished her morning workout around eight. She picked up her towel from the floor and drank some water from her bottle. At first, she was surprised to find the water tasted of lemon. Then she remembered adding some lemon juice to the water in the morning to add some vitamins. When she finished drinking, she put the bottle back in her bag and headed for the changing room.	NEU30
NEU	r2	Grzegorz przygotowuje listę zakupów spożywczych. Zagląda do lodówki żeby sprawdzić, czego mu brakuje. Następnie puka do pokoju swojego syna żeby zapytać go, czy nie chce dopisać czegoś do listy.	Jeremy is preparing a grocery shopping list. He looks in the refrigerator to check what he needs to buy. Then he knocks on the door of his son's room to ask if he wants to add anything to the list.	NEU14
NEU	r2	Daria wyłączyła telewizor i ziewnęła. Był już późny wieczór i nadeszła pora, żeby pójść spać. Daria przebrała się w piżamę i nastawiła budzik. “Jutro muszę wstać wcześniej niż wczoraj, bo muszę jeszcze nadać paczkę przed pójściem do pracy”, pomyślała. Przestawiła budzik na piętnaście minut wcześniej.	Angela turned off the TV and yawned. It was late and she felt like going to bed. She changed into her pyjamas and set the alarm clock. “Tomorrow I have to get up earlier than yesterday because I need to post a package before I go to work.”, she remembered and reset the alarm clock fifteen minutes earlier.	NEU15
NEU	r2	Stanisław chodzi po kuchni i przygotowuje makaron. W pewnym momencie zauważa, że przez chodzenie boso zrobiło mu się zimno w stopy. “I tak czekam aż zagotuje się woda, pójdę ubrać skarpetki.” myśli Stanisław. Idzie do swojego pokoju, wyjmuje skarpetki z szuflady i nakłada je. Kiedy wraca do kuchni, woda już wrze. Stanisław wrzuca makaron do wody.	Stan is cooking pasta in the kitchen. He walks around barefoot, but after a while he notices that his feet have become cold. “I have to wait for the water to boil anyway, so I might as well put on socks.”, he thought. He goes to his room, takes the socks out of the drawer and puts them on. When he is back in the kitchen, the water is already boiling. He tosses the pasta into the water.	NEU29
NEU	r2	Adam spodziewa się gości. Wszedł do łazienki żeby sprawdzić, czy w dozowniku nie brakuje mydła. Przy okazji zauważył, że w łazience brakuje ręcznika. “Czy mam jeszcze czyste ręczniki?”, pomyślał Adam i wyszedł z łazienki poszukać ręcznika w szafie. Wybiera mały, beżowy ręcznik i wraca do łazienki, żeby powiesić go na haczyku koło umywalki.	Adam is expecting guests. He entered the bathroom to check if there was soap in the dispenser and noticed that there was no towel. “Do I have any clean towels?” he thought as he left the bathroom to look for a towel in the closet. He took a small beige towel and returned to the bathroom to hang it on the hook next to the sink.	NEU21
NEU	r3	Jurek wszedł do sali konferencyjnej i usiadł na krześle. Dopiero potem rozejrzał się dookoła i pomyślał “Skoro miejsca w przednim rzędzie jeszcze nie są zajęte, to się przesiądę”. Podniósł się z krzesła i przesiadł się bliżej ekranu, umieszczonego z przodu sali.	John entered the conference room and sat down on a chair. Only then did he look around and think, “If the front row seats have not all been taken yet, I'll switch.” He got up and moved closer to the screen at the front of the room.	NEU1
NEU	r3	Gosia wydrukowała zestaw dokumentów, które chce złożyć w urzędzie. Układa kartki w odpowiedniej kolejności i zszywa je zszywaczem. Następnie wkłada dokumenty do teczki i chowa teczkę do torby. “Cieszę się, że będę miała to z głowy”, myśli Gosia.	Margaret printed some documents she needs to submit to the municipal office. She arranges the pages in the correct order and staples them with a stapler. She then stuffs them into a folder and puts the folder in her bag. “I'm glad this is now off my mind.”, she thinks.	NEU11
NEU	r3	Wiesław wrócił do domu po długim dniu pracy w polu. Chciał odsapnąć w swoim ulubionym fotelu, ale zauważył, że wciąż znajdują się na nim torby z zakupami, które zostawił tam rano. “Później zajmę się ich rozpakowaniem, zdrzemnę na kanapie” pomyślał Wiesław. Położył się na kanapie i jeszcze przez chwilę myślał o swoich obowiązkach, ale wkrótce zapadł w sen.	Billie returned home after a long day of work in the field. He wanted to relax in his favourite armchair, but he noticed that it was still cluttered with the grocery bags he had left there in the morning. “I'll unpack them later, I can rest on the couch.”, he thought. As he lay down on the couch, he continued to think about his chores for a while, but soon fell asleep.	NEU23
NEU	r3	Marzena właśnie wróciła do domu z podróży. Odwiesiła płaszcz, odłożyła klucze i spojrzała na zegarek. Poszła do kuchni po szklankę wody. Zorientowała się, że nie zapamiętała, która jest godzina. Popijając wodę, podeszła do zegara w kuchni i ponownie sprawdziła czas.	Mary has just returned home from a trip. She hung up her coat, put down the keys, and checked her watch. Then she went into the kitchen to get a glass of water and realized that she did not remember what time it was. Sipping the water, she moved closer to the kitchen clock and checked the time again.	NEU9
